run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,authorship_state
R011,C052,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:22:13,11,ok,ai_gpt_percent,65.09,65.09% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 65.09, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:22:13"", ""status"": ""ok""}",Hybrid,Academic essay,,501,75,2016 tenure statement + Gemini 2.0 Flash replacements (75%),2026-08-14,rewritten_AI
R012,C054,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:24:04,12,ok,ai_gpt_percent,28.43,28.43% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 28.43, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:24:04"", ""status"": ""ok""}",Hybrid,News article,,723,50,2019 city-council recap + GPT-4o replacements (50%),2026-08-16,hybrid
R013,C061,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:25:27,13,ok,ai_gpt_percent,64.92,64.92% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 64.92, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:25:27"", ""status"": ""ok""}",Hybrid,Creative fiction,,515,75,2018 contest entry + Llama 3.3 70B replacements (75%),2026-08-23,rewritten_AI
R014,C063,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:26:18,14,ok,ai_gpt_percent,65.54,65.54% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 65.54, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:26:18"", ""status"": ""ok""}",Hybrid,Business / professional,,462,50,2015 offer-summary memo + Claude 4 Sonnet replacements (50%),2026-08-15,hybrid
R015,C018,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:28:04,15,ok,ai_gpt_percent,62.53,62.53% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 62.53, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:28:04"", ""status"": ""ok""}",AI,Business / professional,,954,100,"Claude 4 Sonnet, board update prompt",2026-08-19,fully_AI
R016,C012,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:29:54,16,ok,ai_gpt_percent,87.61,87.61% AI GPT · Your text is most likely AI/GPT generated,Your text is most likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 87.61, ""message"": ""Your text is most likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:29:54"", ""status"": ""ok""}",AI,Blog / opinion,,746,100,"Llama 3.3 70B, personal essay prompt",2026-08-12,fully_AI
R017,C010,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:30:36,17,ok,ai_gpt_percent,55.01,55.01% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 55.01, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:30:36"", ""status"": ""ok""}",AI,Blog / opinion,,443,100,"Claude 4 Sonnet, opinion column prompt",2026-08-09,fully_AI
R018,C084,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:31:59,18,ok,ai_gpt_percent,55.65,55.65% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 55.65, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:31:59"", ""status"": ""ok""}",Human,Business / professional,Grammar-heavy,573,0,"Appellate brief statement of facts, 7th Cir. public docket",2018-01-11,human_stress
R019,C062,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:32:49,19,ok,ai_gpt_percent,19.95,19.95% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 19.95, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:32:49"", ""status"": ""ok""}",Hybrid,Business / professional,,676,25,2016 quarterly letter + GPT-4o replacements (25%),2026-08-12,AI_assisted
R020,C028,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:34:46,20,ok,ai_gpt_percent,73.5,73.5% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 73.5, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:34:46"", ""status"": ""ok""}",AI,Technical how-to,,629,100,"Llama 3.3 70B, configuration guide",2026-08-16,fully_AI
R021,C006,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:36:21,21,ok,ai_gpt_percent,54.56,54.56% AI GPT · Your text contains mixed signals,Your text contains mixed signals,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 54.56, ""message"": ""Your text contains mixed signals"", ""scanned_at"": ""2026-08-26T18:36:21"", ""status"": ""ok""}",AI,News article,,812,100,"Claude 4 Sonnet, wire-style prompt",2026-08-01,fully_AI
R022,C007,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:37:57,22,ok,ai_gpt_percent,73.91,73.91% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 73.91, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:37:57"", ""status"": ""ok""}",AI,News article,,646,100,"Gemini 2.0 Flash, rewrite-as-AP",2026-08-04,fully_AI
R023,C013,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:39:00,23,ok,ai_gpt_percent,45.85,45.85% AI GPT · Your text contains mixed signals,Your text contains mixed signals,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 45.85, ""message"": ""Your text contains mixed signals"", ""scanned_at"": ""2026-08-26T18:39:00"", ""status"": ""ok""}",AI,Creative fiction,,967,100,"GPT-4o, short-story prompt",2026-08-13,fully_AI
R024,C048,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:39:37,24,ok,ai_gpt_percent,20.99,20.99% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 20.99, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:39:37"", ""status"": ""ok""}",Human,Technical how-to,,449,0,"Apple Technical Note TN2277 excerpt, developer library snapshot",2015-05-04,human
R025,C039,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:41:06,25,ok,ai_gpt_percent,27.35,27.35% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 27.35, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:41:06"", ""status"": ""ok""}",Human,Creative fiction,,733,0,"Ursula K. Le Guin, 'The Ones Who Walk Away from Omelas,' 1973 reprint",1973-10-01,human
R026,C077,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:43:13,26,ok,ai_gpt_percent,82.7,82.7% AI GPT · Your text is most likely AI/GPT generated,Your text is most likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 82.7, ""message"": ""Your text is most likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:43:13"", ""status"": ""ok""}",Human,Blog / opinion,Templated,555,0,"Boilerplate 'about us' page, county parks department CMS",2013-06-21,human_stress
R027,C082,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:43:55,27,ok,ai_gpt_percent,42.36,42.36% AI GPT · Your text contains mixed signals,Your text contains mixed signals,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 42.36, ""message"": ""Your text contains mixed signals"", ""scanned_at"": ""2026-08-26T18:43:55"", ""status"": ""ok""}",Human,Technical how-to,Technical,562,0,NIST SP 800-63-3 section 5 prose (public domain U.S. government),2017-06-22,human_stress
R028,C015,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:46:00,28,ok,ai_gpt_percent,40.14,40.14% AI GPT · Your text contains mixed signals,Your text contains mixed signals,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 40.14, ""message"": ""Your text contains mixed signals"", ""scanned_at"": ""2026-08-26T18:46:00"", ""status"": ""ok""}",AI,Creative fiction,,944,100,"Gemini 2.0 Flash, scene-only prompt",2026-08-15,fully_AI
R029,C070,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:47:36,29,ok,ai_gpt_percent,63.43,63.43% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 63.43, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:47:36"", ""status"": ""ok""}",Hybrid,Technical how-to,,762,75,2017 runbook + GPT-4o replacements (75%),2026-08-20,rewritten_AI
R030,C079,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:49:28,30,ok,ai_gpt_percent,69.33,69.33% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 69.33, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:49:28"", ""status"": ""ok""}",Human,Blog / opinion,Templated,322,0,"Grant-report narrative template, state arts board",2011-10-19,human_stress
R031,C066,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:51:01,31,ok,ai_gpt_percent,80.06,80.06% AI GPT · Your text is most likely AI/GPT generated,Your text is most likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 80.06, ""message"": ""Your text is most likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:51:01"", ""status"": ""ok""}",Hybrid,Marketing copy,,808,50,2018 homepage draft + GPT-4o replacements (50%),2026-08-16,hybrid
R032,C068,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:52:19,32,ok,ai_gpt_percent,32.57,32.57% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 32.57, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:52:19"", ""status"": ""ok""}",Hybrid,Technical how-to,,790,25,2015 man-page rewrite + Gemini 2.0 Flash replacements (25%),2026-08-14,AI_assisted
R033,C071,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:54:06,33,ok,ai_gpt_percent,59.28,59.28% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 59.28, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:54:06"", ""status"": ""ok""}",Human,Academic essay,ESL,524,0,"Placement essay, University of Helsinki English exam booklet",2018-04-12,human_stress
R034,C060,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:55:26,34,ok,ai_gpt_percent,54.61,54.61% AI GPT · Your text contains mixed signals,Your text contains mixed signals,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 54.61, ""message"": ""Your text contains mixed signals"", ""scanned_at"": ""2026-08-26T18:55:26"", ""status"": ""ok""}",Hybrid,Creative fiction,,572,50,2011 workshop story + Gemini 2.0 Flash replacements (50%),2026-08-22,hybrid
R035,C031,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:56:42,35,ok,ai_gpt_percent,14.74,14.74% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 14.74, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:56:42"", ""status"": ""ok""}",Human,Academic essay,,730,0,"Jane Addams, Peace and Bread in Time of War, ch. 3",1922-03-15,human
R036,C047,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:57:51,36,ok,ai_gpt_percent,38.04,38.04% AI GPT · Your text contains mixed signals,Your text contains mixed signals,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 38.04, ""message"": ""Your text contains mixed signals"", ""scanned_at"": ""2026-08-26T18:57:51"", ""status"": ""ok""}",Human,Technical how-to,,462,0,"PostgreSQL 9.4 documentation, 'Concurrency Control'",2014-12-18,human
R037,C017,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:58:56,37,ok,ai_gpt_percent,79.56,79.56% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 79.56, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:58:56"", ""status"": ""ok""}",AI,Business / professional,,644,100,"GPT-4o, client memo prompt",2026-08-18,fully_AI
R038,C076,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:00:08,38,ok,ai_gpt_percent,35.16,35.16% AI GPT · Your text contains mixed signals,Your text contains mixed signals,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 35.16, ""message"": ""Your text contains mixed signals"", ""scanned_at"": ""2026-08-26T19:00:08"", ""status"": ""ok""}",Human,News article,Translated,587,0,English translation of Le Monde diplomatique short feature,2019-02-27,human_stress
R039,C027,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:01:34,39,ok,ai_gpt_percent,76.8,76.8% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 76.8, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T19:01:34"", ""status"": ""ok""}",AI,Technical how-to,,765,100,"Gemini 2.0 Flash, CLI how-to prompt",2026-08-11,fully_AI
R040,C080,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:03:03,40,ok,ai_gpt_percent,46.07,46.07% AI GPT · Your text contains mixed signals,Your text contains mixed signals,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 46.07, ""message"": ""Your text contains mixed signals"", ""scanned_at"": ""2026-08-26T19:03:03"", ""status"": ""ok""}",Human,Technical how-to,Technical,360,0,"IEEE 802.11-2012 clause excerpt, licensed reprint",2012-03-29,human_stress
R041,C021,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:04:24,41,ok,ai_gpt_percent,80.08,80.08% AI GPT · Your text is most likely AI/GPT generated,Your text is most likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 80.08, ""message"": ""Your text is most likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T19:04:24"", ""status"": ""ok""}",AI,Marketing copy,,502,100,"GPT-4o, landing-page prompt",2026-07-19,fully_AI
R042,C046,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:05:24,42,ok,ai_gpt_percent,15.01,15.01% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 15.01, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T19:05:24"", ""status"": ""ok""}",Human,Marketing copy,,363,0,"Holiday insert, Powell's Books in-store flyer",2017-11-09,human
R043,C067,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:07:05,43,ok,ai_gpt_percent,85.3,85.3% AI GPT · Your text is most likely AI/GPT generated,Your text is most likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 85.3, ""message"": ""Your text is most likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T19:07:05"", ""status"": ""ok""}",Hybrid,Marketing copy,,648,75,2019 promo email + Claude 4 Sonnet replacements (75%),2026-08-19,rewritten_AI
R044,C050,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:08:37,44,ok,ai_gpt_percent,52.21,52.21% AI GPT · Your text contains mixed signals,Your text contains mixed signals,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 52.21, ""message"": ""Your text contains mixed signals"", ""scanned_at"": ""2026-08-26T19:08:37"", ""status"": ""ok""}",Hybrid,Academic essay,,901,25,1911 Britannica agriculture article + GPT-4o replacements (25% by words),2026-08-12,AI_assisted
R045,C057,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:09:23,45,ok,ai_gpt_percent,27.9,27.9% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 27.9, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T19:09:23"", ""status"": ""ok""}",Hybrid,Blog / opinion,,508,50,2019 newsletter essay + Llama 3.3 70B replacements (50%),2026-08-19,hybrid
R046,C038,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:10:35,46,ok,ai_gpt_percent,3.82,3.82% AI GPT · Your text is human written,Your text is human written,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 3.82, ""message"": ""Your text is human written"", ""scanned_at"": ""2026-08-26T19:10:35"", ""status"": ""ok""}",Human,Creative fiction,,596,0,"Willa Cather, My Ántonia, Book I, ch. 2 (Houghton Mifflin)",1918-09-21,human
R047,C003,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:12:32,47,ok,ai_gpt_percent,65.32,65.32% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 65.32, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T19:12:32"", ""status"": ""ok""}",AI,Academic essay,,583,100,"Gemini 2.0 Flash, long-form setting",2026-07-25,fully_AI
R048,C002,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:13:10,48,ok,ai_gpt_percent,71.84,71.84% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 71.84, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T19:13:10"", ""status"": ""ok""}",AI,Academic essay,,834,100,"Claude 4 Sonnet, default settings",2026-07-22,fully_AI
R049,C001,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:14:23,49,ok,ai_gpt_percent,60.32,60.32% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 60.32, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T19:14:23"", ""status"": ""ok""}",AI,Academic essay,,595,100,"GPT-4o, temp 0.7, 2026-07-18 session",2026-07-18,fully_AI
R050,C075,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:15:30,50,ok,ai_gpt_percent,25.19,25.19% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 25.19, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T19:15:30"", ""status"": ""ok""}",Human,News article,Translated,444,0,English translation of Asahi Shimbun local-government piece,2014-09-08,human_stress
R051,C083,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:16:45,51,ok,ai_gpt_percent,54.5,54.5% AI GPT · Your text contains mixed signals,Your text contains mixed signals,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 54.5, ""message"": ""Your text contains mixed signals"", ""scanned_at"": ""2026-08-26T19:16:45"", ""status"": ""ok""}",Human,Business / professional,Grammar-heavy,701,0,"Commercial lease, Article 12 indemnity clause, Cook County filing",2015-07-30,human_stress
R052,C022,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:18:10,52,ok,ai_gpt_percent,61.77,61.77% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 61.77, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T19:18:10"", ""status"": ""ok""}",AI,Marketing copy,,651,100,"Claude 4 Sonnet, product page prompt",2026-07-23,fully_AI
R053,C005,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T19:19:35,53,ok,ai_gpt_percent,78.71,78.71% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 78.71, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T19:19:35"", ""status"": ""ok""}",AI,News article,,521,100,"GPT-4o, news desk prompt",2026-07-30,fully_AI
