run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,authorship_state
R011,C038,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:28:58,11,ok,human_score,97,97%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 97, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 97%"", ""scanned_at"": ""2026-08-26T08:28:58""}",Human,Creative fiction,,596,0,"Willa Cather, My Ántonia, Book I, ch. 2 (Houghton Mifflin)",1918-09-21,human
R012,C091,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:30:32,12,ok,human_score,83,83%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 83, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 83%"", ""scanned_at"": ""2026-08-26T08:30:32""}",Human,Academic essay,Archaic,397,0,"Letter of Abigail Adams to John Adams, Massachusetts Historical Society transcription",1776-03-31,human_stress
R013,C079,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:32:13,13,ok,human_score,69,69%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 69, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 69%"", ""scanned_at"": ""2026-08-26T08:32:13""}",Human,Blog / opinion,Templated,322,0,"Grant-report narrative template, state arts board",2011-10-19,human_stress
R014,C054,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:34:06,14,ok,human_score,84,84%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 84, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 84%"", ""scanned_at"": ""2026-08-26T08:34:06""}",Hybrid,News article,,723,50,2019 city-council recap + GPT-4o replacements (50%),2026-08-16,hybrid
R015,C073,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:35:27,15,ok,human_score,68,68%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 68, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 68%"", ""scanned_at"": ""2026-08-26T08:35:27""}",Human,Academic essay,ESL,478,0,"Erasmus application statement, University of Coimbra",2019-01-22,human_stress
R016,C057,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:36:46,16,ok,human_score,94,94%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 94, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 94%"", ""scanned_at"": ""2026-08-26T08:36:46""}",Hybrid,Blog / opinion,,508,50,2019 newsletter essay + Llama 3.3 70B replacements (50%),2026-08-19,hybrid
R017,C071,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:37:50,17,ok,human_score,69,69%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 69, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 69%"", ""scanned_at"": ""2026-08-26T08:37:50""}",Human,Academic essay,ESL,524,0,"Placement essay, University of Helsinki English exam booklet",2018-04-12,human_stress
R018,C040,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:39:54,18,ok,human_score,93,93%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 93, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 93%"", ""scanned_at"": ""2026-08-26T08:39:54""}",Human,Creative fiction,,405,0,"George Saunders, Tenth of December title story (Random House)",2013-01-08,human
R019,C032,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:42:02,19,ok,human_score,94,94%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 94, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 94%"", ""scanned_at"": ""2026-08-26T08:42:02""}",Human,News article,,569,0,"Sarah Kliff, Vox feature on emergency-room billing",2018-02-14,human
R020,C065,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:42:48,20,ok,human_score,74,74%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 74, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 74%"", ""scanned_at"": ""2026-08-26T08:42:48""}",Hybrid,Marketing copy,,564,25,2014 product insert + Llama 3.3 70B replacements (25%),2026-08-13,AI_assisted
R021,C009,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:44:17,21,ok,human_score,14,14%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 14, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 14%"", ""scanned_at"": ""2026-08-26T08:44:17""}",AI,Blog / opinion,,716,100,"GPT-4o, first-person blog prompt",2026-08-07,fully_AI
R022,C045,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:45:50,22,ok,human_score,100,100%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 100, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 100%"", ""scanned_at"": ""2026-08-26T08:45:50""}",Human,Marketing copy,,601,0,"Spring lookbook copy, Patagonia Worn Wear",2017-03-14,human
R023,C020,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:47:28,23,ok,human_score,9,9%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 9, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 9%"", ""scanned_at"": ""2026-08-26T08:47:28""}",AI,Business / professional,,766,100,"Llama 3.3 70B, vendor letter prompt",2026-08-22,fully_AI
R024,C082,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:49:22,24,ok,human_score,83,83%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 83, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 83%"", ""scanned_at"": ""2026-08-26T08:49:22""}",Human,Technical how-to,Technical,562,0,NIST SP 800-63-3 section 5 prose (public domain U.S. government),2017-06-22,human_stress
R025,C051,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:50:32,25,ok,human_score,82,82%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 82, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 82%"", ""scanned_at"": ""2026-08-26T08:50:32""}",Hybrid,Academic essay,,799,50,2014 faculty senate minutes + Claude 4 Sonnet replacements (50%),2026-08-13,hybrid
R026,C078,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:51:59,26,ok,human_score,64,64%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 64, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 64%"", ""scanned_at"": ""2026-08-26T08:51:59""}",Human,Blog / opinion,Templated,234,0,"HR welcome email template, regional hospital system",2018-08-04,human_stress
R027,C059,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:53:59,27,ok,human_score,67,67%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 67, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 67%"", ""scanned_at"": ""2026-08-26T08:53:59""}",Hybrid,Creative fiction,,628,25,2013 short-story draft + Claude 4 Sonnet replacements (25%),2026-08-21,AI_assisted
R028,C003,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:55:46,28,ok,human_score,15,15%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 15, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 15%"", ""scanned_at"": ""2026-08-26T08:55:46""}",AI,Academic essay,,583,100,"Gemini 2.0 Flash, long-form setting",2026-07-25,fully_AI
R029,C068,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:57:10,29,ok,human_score,24,24%,Likely AI,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 24, ""prediction_map_band"": ""Likely AI"", ""displayed_text"": ""Human Score 24%"", ""scanned_at"": ""2026-08-26T08:57:10""}",Hybrid,Technical how-to,,790,25,2015 man-page rewrite + Gemini 2.0 Flash replacements (25%),2026-08-14,AI_assisted
R030,C090,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:58:36,30,ok,human_score,86,86%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 86, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 86%"", ""scanned_at"": ""2026-08-26T08:58:36""}",Human,Academic essay,Archaic,531,0,"John Ruskin, The Stones of Venice, vol. 2, ch. 6",1853-07-01,human_stress
R031,C037,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:59:41,31,ok,human_score,91,91%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 91, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 91%"", ""scanned_at"": ""2026-08-26T08:59:41""}",Human,Blog / opinion,,609,0,"Tim Carmody, kottke.org weekday post",2019-09-18,human
R032,C031,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:01:15,32,ok,human_score,93,93%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 93, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 93%"", ""scanned_at"": ""2026-08-26T09:01:15""}",Human,Academic essay,,730,0,"Jane Addams, Peace and Bread in Time of War, ch. 3",1922-03-15,human
R033,C085,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:02:50,33,ok,human_score,66,66%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 66, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 66%"", ""scanned_at"": ""2026-08-26T09:02:50""}",Human,Business / professional,Grammar-heavy,551,0,"Insurance policy definitions section, ISO HO-3 2011",2011-09-01,human_stress
R034,C011,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:04:51,34,ok,human_score,5,5%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 5, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 5%"", ""scanned_at"": ""2026-08-26T09:04:51""}",AI,Blog / opinion,,985,100,"Gemini 2.0 Flash, Substack-style prompt",2026-08-10,fully_AI
R035,C027,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:05:52,35,ok,human_score,7,7%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 7, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 7%"", ""scanned_at"": ""2026-08-26T09:05:52""}",AI,Technical how-to,,765,100,"Gemini 2.0 Flash, CLI how-to prompt",2026-08-11,fully_AI
R036,C089,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:07:44,36,ok,human_score,88,88%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 88, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 88%"", ""scanned_at"": ""2026-08-26T09:07:44""}",Human,Academic essay,Archaic,515,0,"Thomas Carlyle, Past and Present, Book III, ch. 4",1843-04-01,human_stress
R037,C056,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:08:46,37,ok,human_score,60,60%,Uncertain,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 60, ""prediction_map_band"": ""Uncertain"", ""displayed_text"": ""Human Score 60%"", ""scanned_at"": ""2026-08-26T09:08:46""}",Hybrid,Blog / opinion,,786,25,2015 personal blog post + Gemini 2.0 Flash replacements (25%),2026-08-18,AI_assisted
R038,C072,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:09:58,38,ok,human_score,78,78%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 78, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 78%"", ""scanned_at"": ""2026-08-26T09:09:58""}",Human,Academic essay,ESL,471,0,"TOEFL-style independent essay, collected with writer consent, Osaka",2016-11-03,human_stress
R039,C024,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:11:54,39,ok,human_score,0,0%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 0, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 0%"", ""scanned_at"": ""2026-08-26T09:11:54""}",AI,Marketing copy,,888,100,"Llama 3.3 70B, catalog blurb prompt",2026-08-02,fully_AI
R040,C050,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:13:31,40,ok,human_score,69,69%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 69, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 69%"", ""scanned_at"": ""2026-08-26T09:13:31""}",Hybrid,Academic essay,,901,25,1911 Britannica agriculture article + GPT-4o replacements (25% by words),2026-08-12,AI_assisted
R041,C018,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:15:12,41,ok,human_score,16,16%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 16, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 16%"", ""scanned_at"": ""2026-08-26T09:15:12""}",AI,Business / professional,,954,100,"Claude 4 Sonnet, board update prompt",2026-08-19,fully_AI
R042,C080,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:17:05,42,ok,human_score,80,80%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 80, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 80%"", ""scanned_at"": ""2026-08-26T09:17:05""}",Human,Technical how-to,Technical,360,0,"IEEE 802.11-2012 clause excerpt, licensed reprint",2012-03-29,human_stress
R043,C049,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:18:14,43,ok,human_score,92,92%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 92, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 92%"", ""scanned_at"": ""2026-08-26T09:18:14""}",Human,Technical how-to,,565,0,"AWS Elastic Beanstalk Developer Guide, 'Deploying a Flask app,' archived HTML",2015-10-29,human
R044,C076,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:20:20,44,ok,human_score,84,84%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 84, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 84%"", ""scanned_at"": ""2026-08-26T09:20:20""}",Human,News article,Translated,587,0,English translation of Le Monde diplomatique short feature,2019-02-27,human_stress
R045,C044,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:21:15,45,ok,human_score,84,84%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 84, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 84%"", ""scanned_at"": ""2026-08-26T09:21:15""}",Human,Marketing copy,,569,0,"Fall 2017 print catalog, Schoolhouse Electric",2017-08-22,human
R046,C013,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:23:13,46,ok,human_score,28,28%,Likely AI,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 28, ""prediction_map_band"": ""Likely AI"", ""displayed_text"": ""Human Score 28%"", ""scanned_at"": ""2026-08-26T09:23:13""}",AI,Creative fiction,,967,100,"GPT-4o, short-story prompt",2026-08-13,fully_AI
R047,C083,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:23:59,47,ok,human_score,66,66%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 66, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 66%"", ""scanned_at"": ""2026-08-26T09:23:59""}",Human,Business / professional,Grammar-heavy,701,0,"Commercial lease, Article 12 indemnity clause, Cook County filing",2015-07-30,human_stress
R048,C086,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:25:57,48,ok,human_score,75,75%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 75, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 75%"", ""scanned_at"": ""2026-08-26T09:25:57""}",Human,Marketing copy,Short,114,0,"Craigslist missed-connections post, San Francisco",2014-05-19,human_stress
R049,C012,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:27:43,49,ok,human_score,2,2%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 2, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 2%"", ""scanned_at"": ""2026-08-26T09:27:43""}",AI,Blog / opinion,,746,100,"Llama 3.3 70B, personal essay prompt",2026-08-12,fully_AI
R050,C036,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:29:05,50,ok,human_score,94,94%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 94, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 94%"", ""scanned_at"": ""2026-08-26T09:29:05""}",Human,Blog / opinion,,854,0,"Heather Havrilesky, Ask Polly column, The Cut",2019-03-06,human
R051,C088,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:30:32,51,ok,human_score,66,66%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 66, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 66%"", ""scanned_at"": ""2026-08-26T09:30:32""}",Human,Marketing copy,Short,129,0,"Museum wall label, Cleveland Museum of Art collection notes",2019-08-30,human_stress
R052,C052,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:32:39,52,ok,human_score,63,63%,Mostly human,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 63, ""prediction_map_band"": ""Mostly human"", ""displayed_text"": ""Human Score 63%"", ""scanned_at"": ""2026-08-26T09:32:39""}",Hybrid,Academic essay,,501,75,2016 tenure statement + Gemini 2.0 Flash replacements (75%),2026-08-14,rewritten_AI
R053,C026,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:33:57,53,ok,human_score,20,20%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 20, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 20%"", ""scanned_at"": ""2026-08-26T09:33:57""}",AI,Technical how-to,,561,100,"Claude 4 Sonnet, troubleshooting prompt",2026-08-08,fully_AI
R054,C014,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:34:49,54,ok,human_score,54,54%,Uncertain,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 54, ""prediction_map_band"": ""Uncertain"", ""displayed_text"": ""Human Score 54%"", ""scanned_at"": ""2026-08-26T09:34:49""}",AI,Creative fiction,,797,100,"Claude 4 Sonnet, literary short story",2026-08-14,fully_AI
R055,C058,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:35:25,55,ok,human_score,36,36%,Likely AI,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 36, ""prediction_map_band"": ""Likely AI"", ""displayed_text"": ""Human Score 36%"", ""scanned_at"": ""2026-08-26T09:35:25""}",Hybrid,Blog / opinion,,841,75,2014 LiveJournal entry + GPT-4o replacements (75%),2026-08-20,rewritten_AI
R056,C001,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:36:44,56,ok,human_score,0,0%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 0, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 0%"", ""scanned_at"": ""2026-08-26T09:36:44""}",AI,Academic essay,,595,100,"GPT-4o, temp 0.7, 2026-07-18 session",2026-07-18,fully_AI
R057,C034,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:37:38,57,ok,human_score,89,89%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 89, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 89%"", ""scanned_at"": ""2026-08-26T09:37:38""}",Human,News article,,557,0,"Reuters special report, California wildfire season",2018-11-27,human
R058,C041,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:38:50,58,ok,human_score,92,92%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 92, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 92%"", ""scanned_at"": ""2026-08-26T09:38:50""}",Human,Business / professional,,521,0,"Internal strategy memo, Midland Credit Union board packet",2016-02-17,human
R059,C063,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:40:02,59,ok,human_score,49,49%,Uncertain,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 49, ""prediction_map_band"": ""Uncertain"", ""displayed_text"": ""Human Score 49%"", ""scanned_at"": ""2026-08-26T09:40:02""}",Hybrid,Business / professional,,462,50,2015 offer-summary memo + Claude 4 Sonnet replacements (50%),2026-08-15,hybrid
R060,C075,Winston AI,v4.15,1,2026-08-26,2026-08-26T09:41:58,60,ok,human_score,90,90%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 90, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 90%"", ""scanned_at"": ""2026-08-26T09:41:58""}",Human,News article,Translated,444,0,English translation of Asahi Shimbun local-government piece,2014-09-08,human_stress
