run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,fraction_ai,fraction_ai_assisted,fraction_human,prediction_short,headline
R011,C017,Pangram,4.0,1,2026-08-26,2026-08-26T11:18:57,11,ok,fraction_ai,0.9792,97.9% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Generated"", ""prediction"": ""We believe that this text is AI-generated."", ""prediction_short"": ""AI"", ""fraction_ai"": 0.9792, ""fraction_ai_assisted"": 0.0208, ""fraction_human"": 0.0, ""scanned_at"": ""2026-08-26T11:18:57"", ""status"": ""ok""}",AI,Business / professional,,644,100,"GPT-4o, client memo prompt",2026-08-18,0.9792,0.0208,0.0,AI,AI Generated
R012,C020,Pangram,4.0,1,2026-08-26,2026-08-26T11:20:53,12,ok,fraction_ai,0.9236,92.4% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Generated"", ""prediction"": ""We believe that this text is AI-generated."", ""prediction_short"": ""AI"", ""fraction_ai"": 0.9236, ""fraction_ai_assisted"": 0.0541, ""fraction_human"": 0.0223, ""scanned_at"": ""2026-08-26T11:20:53"", ""status"": ""ok""}",AI,Business / professional,,766,100,"Llama 3.3 70B, vendor letter prompt",2026-08-22,0.9236,0.0541,0.0223,AI,AI Generated
R013,C006,Pangram,4.0,1,2026-08-26,2026-08-26T11:22:24,13,ok,fraction_ai,0.8672,86.7% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Generated"", ""prediction"": ""We believe that this text is AI-generated."", ""prediction_short"": ""AI"", ""fraction_ai"": 0.8672, ""fraction_ai_assisted"": 0.0, ""fraction_human"": 0.1328, ""scanned_at"": ""2026-08-26T11:22:24"", ""status"": ""ok""}",AI,News article,,812,100,"Claude 4 Sonnet, wire-style prompt",2026-08-01,0.8672,0.0,0.1328,AI,AI Generated
R014,C060,Pangram,4.0,1,2026-08-26,2026-08-26T11:23:07,14,ok,fraction_ai,0.8012,80.1% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Generated"", ""prediction"": ""We believe that this text is AI-generated."", ""prediction_short"": ""AI"", ""fraction_ai"": 0.8012, ""fraction_ai_assisted"": 0.1573, ""fraction_human"": 0.0414, ""scanned_at"": ""2026-08-26T11:23:07"", ""status"": ""ok""}",Hybrid,Creative fiction,,572,50,2011 workshop story + Gemini 2.0 Flash replacements (50%),2026-08-22,0.8012,0.1573,0.0414,AI,AI Generated
R015,C062,Pangram,4.0,1,2026-08-26,2026-08-26T11:23:45,15,ok,fraction_ai,0.6037,60.4% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.6037, ""fraction_ai_assisted"": 0.0859, ""fraction_human"": 0.3103, ""scanned_at"": ""2026-08-26T11:23:45"", ""status"": ""ok""}",Hybrid,Business / professional,,676,25,2016 quarterly letter + GPT-4o replacements (25%),2026-08-12,0.6037,0.0859,0.3103,Mixed,AI Assisted
R016,C002,Pangram,4.0,1,2026-08-26,2026-08-26T11:24:23,16,ok,fraction_ai,0.9335,93.3% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Generated"", ""prediction"": ""We believe that this text is AI-generated."", ""prediction_short"": ""AI"", ""fraction_ai"": 0.9335, ""fraction_ai_assisted"": 0.0665, ""fraction_human"": 0.0, ""scanned_at"": ""2026-08-26T11:24:23"", ""status"": ""ok""}",AI,Academic essay,,834,100,"Claude 4 Sonnet, default settings",2026-07-22,0.9335,0.0665,0.0,AI,AI Generated
R017,C053,Pangram,4.0,1,2026-08-26,2026-08-26T11:25:12,17,ok,fraction_ai,0.1242,12.4% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.1242, ""fraction_ai_assisted"": 0.0, ""fraction_human"": 0.8758, ""scanned_at"": ""2026-08-26T11:25:12"", ""status"": ""ok""}",Hybrid,News article,,757,25,2018 local news brief + Llama 3.3 70B replacements (25%),2026-08-15,0.1242,0.0,0.8758,Mixed,AI Assisted
R018,C063,Pangram,4.0,1,2026-08-26,2026-08-26T11:26:55,18,ok,fraction_ai,0.2237,22.4% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.2237, ""fraction_ai_assisted"": 0.0093, ""fraction_human"": 0.767, ""scanned_at"": ""2026-08-26T11:26:55"", ""status"": ""ok""}",Hybrid,Business / professional,,462,50,2015 offer-summary memo + Claude 4 Sonnet replacements (50%),2026-08-15,0.2237,0.0093,0.767,Mixed,AI Assisted
R019,C045,Pangram,4.0,1,2026-08-26,2026-08-26T11:28:56,19,ok,fraction_ai,0.0,0.0% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.0, ""fraction_ai_assisted"": 0.1016, ""fraction_human"": 0.8984, ""scanned_at"": ""2026-08-26T11:28:56"", ""status"": ""ok""}",Human,Marketing copy,,601,0,"Spring lookbook copy, Patagonia Worn Wear",2017-03-14,0.0,0.1016,0.8984,Mixed,AI Assisted
R020,C082,Pangram,4.0,1,2026-08-26,2026-08-26T11:30:49,20,ok,fraction_ai,0.1001,10.0% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.1001, ""fraction_ai_assisted"": 0.0, ""fraction_human"": 0.8999, ""scanned_at"": ""2026-08-26T11:30:49"", ""status"": ""ok""}",Human,Technical how-to,Technical,562,0,NIST SP 800-63-3 section 5 prose (public domain U.S. government),2017-06-22,0.1001,0.0,0.8999,Mixed,AI Assisted
R021,C049,Pangram,4.0,1,2026-08-26,2026-08-26T11:31:48,21,ok,fraction_ai,0.1321,13.2% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.1321, ""fraction_ai_assisted"": 0.0977, ""fraction_human"": 0.7702, ""scanned_at"": ""2026-08-26T11:31:48"", ""status"": ""ok""}",Human,Technical how-to,,565,0,"AWS Elastic Beanstalk Developer Guide, 'Deploying a Flask app,' archived HTML",2015-10-29,0.1321,0.0977,0.7702,Mixed,AI Assisted
R022,C030,Pangram,4.0,1,2026-08-26,2026-08-26T11:32:47,22,ok,fraction_ai,0.1078,10.8% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.1078, ""fraction_ai_assisted"": 0.0524, ""fraction_human"": 0.8397, ""scanned_at"": ""2026-08-26T11:32:47"", ""status"": ""ok""}",Human,Academic essay,,653,0,"John Dewey, Democracy and Education, ch. 7 (Macmillan)",1916-01-01,0.1078,0.0524,0.8397,Mixed,AI Assisted
R023,C007,Pangram,4.0,1,2026-08-26,2026-08-26T11:34:27,23,ok,fraction_ai,0.8871,88.7% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Generated"", ""prediction"": ""We believe that this text is AI-generated."", ""prediction_short"": ""AI"", ""fraction_ai"": 0.8871, ""fraction_ai_assisted"": 0.1129, ""fraction_human"": 0.0, ""scanned_at"": ""2026-08-26T11:34:27"", ""status"": ""ok""}",AI,News article,,646,100,"Gemini 2.0 Flash, rewrite-as-AP",2026-08-04,0.8871,0.1129,0.0,AI,AI Generated
R024,C048,Pangram,4.0,1,2026-08-26,2026-08-26T11:35:10,24,ok,fraction_ai,0.0,0.0% AI · Human,Human,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""Fully Human Written"", ""prediction"": ""We believe that this text is human-written."", ""prediction_short"": ""Human"", ""fraction_ai"": 0.0, ""fraction_ai_assisted"": 0.0549, ""fraction_human"": 0.9451, ""scanned_at"": ""2026-08-26T11:35:10"", ""status"": ""ok""}",Human,Technical how-to,,449,0,"Apple Technical Note TN2277 excerpt, developer library snapshot",2015-05-04,0.0,0.0549,0.9451,Human,Fully Human Written
R025,C057,Pangram,4.0,1,2026-08-26,2026-08-26T11:36:47,25,ok,fraction_ai,0.6982,69.8% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.6982, ""fraction_ai_assisted"": 0.1015, ""fraction_human"": 0.2003, ""scanned_at"": ""2026-08-26T11:36:47"", ""status"": ""ok""}",Hybrid,Blog / opinion,,508,50,2019 newsletter essay + Llama 3.3 70B replacements (50%),2026-08-19,0.6982,0.1015,0.2003,Mixed,AI Assisted
R026,C044,Pangram,4.0,1,2026-08-26,2026-08-26T11:37:55,26,ok,fraction_ai,0.117,11.7% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.117, ""fraction_ai_assisted"": 0.0908, ""fraction_human"": 0.7922, ""scanned_at"": ""2026-08-26T11:37:55"", ""status"": ""ok""}",Human,Marketing copy,,569,0,"Fall 2017 print catalog, Schoolhouse Electric",2017-08-22,0.117,0.0908,0.7922,Mixed,AI Assisted
R027,C054,Pangram,4.0,1,2026-08-26,2026-08-26T11:38:51,27,ok,fraction_ai,0.2201,22.0% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.2201, ""fraction_ai_assisted"": 0.0688, ""fraction_human"": 0.7111, ""scanned_at"": ""2026-08-26T11:38:51"", ""status"": ""ok""}",Hybrid,News article,,723,50,2019 city-council recap + GPT-4o replacements (50%),2026-08-16,0.2201,0.0688,0.7111,Mixed,AI Assisted
R028,C039,Pangram,4.0,1,2026-08-26,2026-08-26T11:40:15,28,ok,fraction_ai,0.0,0.0% AI · Human,Human,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""Fully Human Written"", ""prediction"": ""We believe that this text is human-written."", ""prediction_short"": ""Human"", ""fraction_ai"": 0.0, ""fraction_ai_assisted"": 0.0248, ""fraction_human"": 0.9752, ""scanned_at"": ""2026-08-26T11:40:15"", ""status"": ""ok""}",Human,Creative fiction,,733,0,"Ursula K. Le Guin, 'The Ones Who Walk Away from Omelas,' 1973 reprint",1973-10-01,0.0,0.0248,0.9752,Human,Fully Human Written
R029,C035,Pangram,4.0,1,2026-08-26,2026-08-26T11:41:12,29,ok,fraction_ai,0.0736,7.4% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.0736, ""fraction_ai_assisted"": 0.0345, ""fraction_human"": 0.8919, ""scanned_at"": ""2026-08-26T11:41:12"", ""status"": ""ok""}",Human,Blog / opinion,,702,0,"Paul Ford, 'What Is Code?', Bloomberg Businessweek",2015-06-11,0.0736,0.0345,0.8919,Mixed,AI Assisted
R030,C001,Pangram,4.0,1,2026-08-26,2026-08-26T11:42:33,30,ok,fraction_ai,1.0,100.0% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Generated"", ""prediction"": ""We believe that this text is AI-generated."", ""prediction_short"": ""AI"", ""fraction_ai"": 1.0, ""fraction_ai_assisted"": 0.0, ""fraction_human"": 0.0, ""scanned_at"": ""2026-08-26T11:42:33"", ""status"": ""ok""}",AI,Academic essay,,595,100,"GPT-4o, temp 0.7, 2026-07-18 session",2026-07-18,1.0,0.0,0.0,AI,AI Generated
R031,C023,Pangram,4.0,1,2026-08-26,2026-08-26T11:43:16,31,ok,fraction_ai,0.8031,80.3% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Generated"", ""prediction"": ""We believe that this text is AI-generated."", ""prediction_short"": ""AI"", ""fraction_ai"": 0.8031, ""fraction_ai_assisted"": 0.0, ""fraction_human"": 0.1969, ""scanned_at"": ""2026-08-26T11:43:16"", ""status"": ""ok""}",AI,Marketing copy,,894,100,"Gemini 2.0 Flash, email campaign prompt",2026-07-28,0.8031,0.0,0.1969,AI,AI Generated
R032,C019,Pangram,4.0,1,2026-08-26,2026-08-26T11:44:00,32,ok,fraction_ai,0.8903,89.0% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Generated"", ""prediction"": ""We believe that this text is AI-generated."", ""prediction_short"": ""AI"", ""fraction_ai"": 0.8903, ""fraction_ai_assisted"": 0.1097, ""fraction_human"": 0.0, ""scanned_at"": ""2026-08-26T11:44:00"", ""status"": ""ok""}",AI,Business / professional,,631,100,"Gemini 2.0 Flash, policy brief prompt",2026-08-21,0.8903,0.1097,0.0,AI,AI Generated
R033,C085,Pangram,4.0,1,2026-08-26,2026-08-26T11:45:16,33,ok,fraction_ai,0.4305,43.0% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.4305, ""fraction_ai_assisted"": 0.3645, ""fraction_human"": 0.205, ""scanned_at"": ""2026-08-26T11:45:16"", ""status"": ""ok""}",Human,Business / professional,Grammar-heavy,551,0,"Insurance policy definitions section, ISO HO-3 2011",2011-09-01,0.4305,0.3645,0.205,Mixed,AI Assisted
R034,C014,Pangram,4.0,1,2026-08-26,2026-08-26T11:46:28,34,ok,fraction_ai,0.6304,63.0% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.6304, ""fraction_ai_assisted"": 0.2774, ""fraction_human"": 0.0922, ""scanned_at"": ""2026-08-26T11:46:28"", ""status"": ""ok""}",AI,Creative fiction,,797,100,"Claude 4 Sonnet, literary short story",2026-08-14,0.6304,0.2774,0.0922,Mixed,AI Assisted
R035,C086,Pangram,4.0,1,2026-08-26,2026-08-26T11:48:19,35,ok,fraction_ai,0.3079,30.8% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.3079, ""fraction_ai_assisted"": 0.0, ""fraction_human"": 0.6921, ""scanned_at"": ""2026-08-26T11:48:19"", ""status"": ""ok""}",Human,Marketing copy,Short,114,0,"Craigslist missed-connections post, San Francisco",2014-05-19,0.3079,0.0,0.6921,Mixed,AI Assisted
R036,C038,Pangram,4.0,1,2026-08-26,2026-08-26T11:49:13,36,ok,fraction_ai,0.0988,9.9% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.0988, ""fraction_ai_assisted"": 0.0633, ""fraction_human"": 0.8379, ""scanned_at"": ""2026-08-26T11:49:13"", ""status"": ""ok""}",Human,Creative fiction,,596,0,"Willa Cather, My Ántonia, Book I, ch. 2 (Houghton Mifflin)",1918-09-21,0.0988,0.0633,0.8379,Mixed,AI Assisted
R037,C016,Pangram,4.0,1,2026-08-26,2026-08-26T11:50:06,37,ok,fraction_ai,0.7507,75.1% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.7507, ""fraction_ai_assisted"": 0.2493, ""fraction_human"": 0.0, ""scanned_at"": ""2026-08-26T11:50:06"", ""status"": ""ok""}",AI,Creative fiction,,800,100,"Llama 3.3 70B, third-person fiction",2026-08-17,0.7507,0.2493,0.0,Mixed,AI Assisted
R038,C034,Pangram,4.0,1,2026-08-26,2026-08-26T11:51:24,38,ok,fraction_ai,0.1173,11.7% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.1173, ""fraction_ai_assisted"": 0.0, ""fraction_human"": 0.8827, ""scanned_at"": ""2026-08-26T11:51:24"", ""status"": ""ok""}",Human,News article,,557,0,"Reuters special report, California wildfire season",2018-11-27,0.1173,0.0,0.8827,Mixed,AI Assisted
R039,C078,Pangram,4.0,1,2026-08-26,2026-08-26T11:52:02,39,ok,fraction_ai,0.4468,44.7% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.4468, ""fraction_ai_assisted"": 0.15, ""fraction_human"": 0.4033, ""scanned_at"": ""2026-08-26T11:52:02"", ""status"": ""ok""}",Human,Blog / opinion,Templated,234,0,"HR welcome email template, regional hospital system",2018-08-04,0.4468,0.15,0.4033,Mixed,AI Assisted
R040,C059,Pangram,4.0,1,2026-08-26,2026-08-26T11:53:37,40,ok,fraction_ai,0.468,46.8% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.468, ""fraction_ai_assisted"": 0.1042, ""fraction_human"": 0.4278, ""scanned_at"": ""2026-08-26T11:53:37"", ""status"": ""ok""}",Hybrid,Creative fiction,,628,25,2013 short-story draft + Claude 4 Sonnet replacements (25%),2026-08-21,0.468,0.1042,0.4278,Mixed,AI Assisted
