run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,ai_percent,sensitivity,result_tag
R011,C056,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:45:23,11,ok,ai_percent,68,68% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 68, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:45:23"", ""status"": ""ok""}",Hybrid,Blog / opinion,,786,25,2015 personal blog post + Gemini 2.0 Flash replacements (25%),2026-08-18,68,2,suspected-ai-generated
R012,C009,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:46:00,12,ok,ai_percent,0,0% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 0, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:46:00"", ""status"": ""ok""}",AI,Blog / opinion,,716,100,"GPT-4o, first-person blog prompt",2026-08-07,0,2,
R013,C066,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:46:58,13,ok,ai_percent,15,15% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 15, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:46:58"", ""status"": ""ok""}",Hybrid,Marketing copy,,808,50,2018 homepage draft + GPT-4o replacements (50%),2026-08-16,15,2,
R014,C073,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:48:38,14,ok,ai_percent,58,58% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 58, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:48:38"", ""status"": ""ok""}",Human,Academic essay,ESL,478,0,"Erasmus application statement, University of Coimbra",2019-01-22,58,2,suspected-ai-generated
R015,C076,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:50:34,15,ok,ai_percent,0,0% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 0, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:50:34"", ""status"": ""ok""}",Human,News article,Translated,587,0,English translation of Le Monde diplomatique short feature,2019-02-27,0,2,
R016,C078,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:52:06,16,ok,ai_percent,100,100% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 100, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:52:06"", ""status"": ""ok""}",Human,Blog / opinion,Templated,234,0,"HR welcome email template, regional hospital system",2018-08-04,100,2,suspected-ai-generated
R017,C046,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:53:49,17,ok,ai_percent,12,12% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 12, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:53:49"", ""status"": ""ok""}",Human,Marketing copy,,363,0,"Holiday insert, Powell's Books in-store flyer",2017-11-09,12,2,
R018,C061,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:55:37,18,ok,ai_percent,51,51% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 51, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:55:37"", ""status"": ""ok""}",Hybrid,Creative fiction,,515,75,2018 contest entry + Llama 3.3 70B replacements (75%),2026-08-23,51,2,suspected-ai-generated
R019,C022,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:56:30,19,ok,ai_percent,67,67% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 67, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:56:30"", ""status"": ""ok""}",AI,Marketing copy,,651,100,"Claude 4 Sonnet, product page prompt",2026-07-23,67,2,suspected-ai-generated
R020,C021,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:58:16,20,ok,ai_percent,0,0% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 0, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:58:16"", ""status"": ""ok""}",AI,Marketing copy,,502,100,"GPT-4o, landing-page prompt",2026-07-19,0,2,
R021,C044,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:59:42,21,ok,ai_percent,38,38% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 38, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:59:42"", ""status"": ""ok""}",Human,Marketing copy,,569,0,"Fall 2017 print catalog, Schoolhouse Electric",2017-08-22,38,2,
R022,C002,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:00:55,22,ok,ai_percent,79,79% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 79, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:00:55"", ""status"": ""ok""}",AI,Academic essay,,834,100,"Claude 4 Sonnet, default settings",2026-07-22,79,2,suspected-ai-generated
R023,C062,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:02:53,23,ok,ai_percent,31,31% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 31, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:02:53"", ""status"": ""ok""}",Hybrid,Business / professional,,676,25,2016 quarterly letter + GPT-4o replacements (25%),2026-08-12,31,2,
R024,C088,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:04:57,24,ok,ai_percent,27,27% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 27, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:04:57"", ""status"": ""ok""}",Human,Marketing copy,Short,129,0,"Museum wall label, Cleveland Museum of Art collection notes",2019-08-30,27,2,
R025,C023,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:05:41,25,ok,ai_percent,75,75% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 75, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:05:41"", ""status"": ""ok""}",AI,Marketing copy,,894,100,"Gemini 2.0 Flash, email campaign prompt",2026-07-28,75,2,suspected-ai-generated
R026,C035,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:06:50,26,ok,ai_percent,100,100% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 100, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:06:50"", ""status"": ""ok""}",Human,Blog / opinion,,702,0,"Paul Ford, 'What Is Code?', Bloomberg Businessweek",2015-06-11,100,2,suspected-ai-generated
R027,C067,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:07:23,27,ok,ai_percent,100,100% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 100, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:07:23"", ""status"": ""ok""}",Hybrid,Marketing copy,,648,75,2019 promo email + Claude 4 Sonnet replacements (75%),2026-08-19,100,2,suspected-ai-generated
R028,C091,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:09:21,28,ok,ai_percent,56,56% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 56, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:09:21"", ""status"": ""ok""}",Human,Academic essay,Archaic,397,0,"Letter of Abigail Adams to John Adams, Massachusetts Historical Society transcription",1776-03-31,56,2,suspected-ai-generated
R029,C064,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:10:47,29,ok,ai_percent,61,61% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 61, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:10:47"", ""status"": ""ok""}",Hybrid,Business / professional,,802,75,2017 vendor RFP response + Gemini 2.0 Flash replacements (75%),2026-08-18,61,2,suspected-ai-generated
R030,C036,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:12:06,30,ok,ai_percent,0,0% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 0, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:12:06"", ""status"": ""ok""}",Human,Blog / opinion,,854,0,"Heather Havrilesky, Ask Polly column, The Cut",2019-03-06,0,2,
R031,C037,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:13:30,31,ok,ai_percent,36,36% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 36, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:13:30"", ""status"": ""ok""}",Human,Blog / opinion,,609,0,"Tim Carmody, kottke.org weekday post",2019-09-18,36,2,
R032,C059,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:14:33,32,ok,ai_percent,0,0% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 0, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:14:33"", ""status"": ""ok""}",Hybrid,Creative fiction,,628,25,2013 short-story draft + Claude 4 Sonnet replacements (25%),2026-08-21,0,2,
R033,C016,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:15:29,33,ok,ai_percent,53,53% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 53, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:15:29"", ""status"": ""ok""}",AI,Creative fiction,,800,100,"Llama 3.3 70B, third-person fiction",2026-08-17,53,2,suspected-ai-generated
R034,C077,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:16:08,34,ok,ai_percent,24,24% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 24, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:16:08"", ""status"": ""ok""}",Human,Blog / opinion,Templated,555,0,"Boilerplate 'about us' page, county parks department CMS",2013-06-21,24,2,
R035,C006,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:17:24,35,ok,ai_percent,93,93% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 93, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:17:24"", ""status"": ""ok""}",AI,News article,,812,100,"Claude 4 Sonnet, wire-style prompt",2026-08-01,93,2,suspected-ai-generated
R036,C029,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:18:19,36,ok,ai_percent,43,43% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 43, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:18:19"", ""status"": ""ok""}",Human,Academic essay,,850,0,"William James, 'The Moral Equivalent of War,' McClure's Magazine",1910-08-01,43,2,
R037,C033,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:20:18,37,error,ai_percent,,,,timeout,Completion webhook not received before client timeout.,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""status"": ""error"", ""error_code"": ""timeout"", ""error"": ""Completion webhook not received before client timeout."", ""scanned_at"": ""2026-08-26T16:20:18""}",Human,News article,,669,0,"Andrew Higgins, New York Times foreign desk",2018-06-09,,,
R038,C065,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:20:53,38,ok,ai_percent,82,82% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 82, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:20:53"", ""status"": ""ok""}",Hybrid,Marketing copy,,564,25,2014 product insert + Llama 3.3 70B replacements (25%),2026-08-13,82,2,suspected-ai-generated
R039,C003,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:22:50,39,ok,ai_percent,88,88% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 88, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:22:50"", ""status"": ""ok""}",AI,Academic essay,,583,100,"Gemini 2.0 Flash, long-form setting",2026-07-25,88,2,suspected-ai-generated
R040,C068,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:23:39,40,ok,ai_percent,82,82% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 82, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:23:39"", ""status"": ""ok""}",Hybrid,Technical how-to,,790,25,2015 man-page rewrite + Gemini 2.0 Flash replacements (25%),2026-08-14,82,2,suspected-ai-generated
R041,C015,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:24:17,41,ok,ai_percent,0,0% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 0, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:24:17"", ""status"": ""ok""}",AI,Creative fiction,,944,100,"Gemini 2.0 Flash, scene-only prompt",2026-08-15,0,2,
R042,C004,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:25:13,42,ok,ai_percent,57,57% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 57, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:25:13"", ""status"": ""ok""}",AI,Academic essay,,899,100,Llama 3.3 70B via Together endpoint,2026-07-27,57,2,suspected-ai-generated
R043,C041,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:26:03,43,ok,ai_percent,40,40% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 40, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:26:03"", ""status"": ""ok""}",Human,Business / professional,,521,0,"Internal strategy memo, Midland Credit Union board packet",2016-02-17,40,2,
R044,C047,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:28:04,44,ok,ai_percent,24,24% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 24, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:28:04"", ""status"": ""ok""}",Human,Technical how-to,,462,0,"PostgreSQL 9.4 documentation, 'Concurrency Control'",2014-12-18,24,2,
R045,C005,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:29:20,45,ok,ai_percent,79,79% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 79, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:29:20"", ""status"": ""ok""}",AI,News article,,521,100,"GPT-4o, news desk prompt",2026-07-30,79,2,suspected-ai-generated
R046,C013,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:31:04,46,ok,ai_percent,100,100% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 100, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:31:04"", ""status"": ""ok""}",AI,Creative fiction,,967,100,"GPT-4o, short-story prompt",2026-08-13,100,2,suspected-ai-generated
R047,C042,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:32:38,47,ok,ai_percent,59,59% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 59, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:32:38"", ""status"": ""ok""}",Human,Business / professional,,556,0,"All-staff note, Harborview Medical Center operations",2016-09-02,59,2,suspected-ai-generated
R048,C070,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:33:24,48,ok,ai_percent,66,66% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 66, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:33:24"", ""status"": ""ok""}",Hybrid,Technical how-to,,762,75,2017 runbook + GPT-4o replacements (75%),2026-08-20,66,2,suspected-ai-generated
R049,C040,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:34:31,49,ok,ai_percent,14,14% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 14, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:34:31"", ""status"": ""ok""}",Human,Creative fiction,,405,0,"George Saunders, Tenth of December title story (Random House)",2013-01-08,14,2,
R050,C054,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:36:29,50,ok,ai_percent,100,100% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 100, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:36:29"", ""status"": ""ok""}",Hybrid,News article,,723,50,2019 city-council recap + GPT-4o replacements (50%),2026-08-16,100,2,suspected-ai-generated
R051,C048,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:37:44,51,ok,ai_percent,0,0% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 0, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:37:44"", ""status"": ""ok""}",Human,Technical how-to,,449,0,"Apple Technical Note TN2277 excerpt, developer library snapshot",2015-05-04,0,2,
R052,C083,Copyleaks,2026.08,1,2026-08-26,2026-08-26T16:38:21,52,ok,ai_percent,33,33% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 33, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T16:38:21"", ""status"": ""ok""}",Human,Business / professional,Grammar-heavy,701,0,"Commercial lease, Article 12 indemnity clause, Cook County filing",2015-07-30,33,2,
