run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,document_classification,prob_human,prob_mixed,prob_ai,predicted_class,confidence_category,average_generated_prob
R011,C082,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:34:32,11,ok,class_probability_ai,0.3047,HUMAN_ONLY (45.3% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.3047, ""mixed"": 0.242, ""human"": 0.4533}, ""predicted_class"": ""human"", ""confidence_category"": ""low"", ""average_generated_prob"": 0.3914, ""scanned_at"": ""2026-08-26T12:34:32"", ""status"": ""ok""}",Human,Technical how-to,Technical,562,0,NIST SP 800-63-3 section 5 prose (public domain U.S. government),2017-06-22,HUMAN_ONLY,0.4533,0.242,0.3047,human,low,0.3914
R012,C028,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:35:38,12,ok,class_probability_ai,0.762,AI_ONLY (76.2% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.762, ""mixed"": 0.02, ""human"": 0.218}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.7618, ""scanned_at"": ""2026-08-26T12:35:38"", ""status"": ""ok""}",AI,Technical how-to,,629,100,"Llama 3.3 70B, configuration guide",2026-08-16,AI_ONLY,0.218,0.02,0.762,ai,high,0.7618
R013,C016,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:36:45,13,ok,class_probability_ai,0.5739,AI_ONLY (57.4% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.5739, ""mixed"": 0.4164, ""human"": 0.0097}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.7523, ""scanned_at"": ""2026-08-26T12:36:45"", ""status"": ""ok""}",AI,Creative fiction,,800,100,"Llama 3.3 70B, third-person fiction",2026-08-17,AI_ONLY,0.0097,0.4164,0.5739,ai,medium,0.7523
R014,C007,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:37:37,14,ok,class_probability_ai,0.806,AI_ONLY (80.6% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.806, ""mixed"": 0.1853, ""human"": 0.0086}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.9223, ""scanned_at"": ""2026-08-26T12:37:37"", ""status"": ""ok""}",AI,News article,,646,100,"Gemini 2.0 Flash, rewrite-as-AP",2026-08-04,AI_ONLY,0.0086,0.1853,0.806,ai,high,0.9223
R015,C064,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:39:40,15,ok,class_probability_ai,0.4225,AI_ONLY (42.2% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.4225, ""mixed"": 0.4007, ""human"": 0.1768}, ""predicted_class"": ""ai"", ""confidence_category"": ""low"", ""average_generated_prob"": 0.6903, ""scanned_at"": ""2026-08-26T12:39:40"", ""status"": ""ok""}",Hybrid,Business / professional,,802,75,2017 vendor RFP response + Gemini 2.0 Flash replacements (75%),2026-08-18,AI_ONLY,0.1768,0.4007,0.4225,ai,low,0.6903
R016,C069,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:41:44,16,ok,class_probability_ai,0.4718,MIXED (49.9% mixed),MIXED,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""MIXED"", ""class_probabilities"": {""ai"": 0.4718, ""mixed"": 0.4991, ""human"": 0.0291}, ""predicted_class"": ""mixed"", ""confidence_category"": ""low"", ""average_generated_prob"": 0.7073, ""scanned_at"": ""2026-08-26T12:41:44"", ""status"": ""ok""}",Hybrid,Technical how-to,,887,50,2012 README + Llama 3.3 70B replacements (50%),2026-08-17,MIXED,0.0291,0.4991,0.4718,mixed,low,0.7073
R017,C005,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:43:00,17,ok,class_probability_ai,0.752,AI_ONLY (75.2% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.752, ""mixed"": 0.02, ""human"": 0.228}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.8482, ""scanned_at"": ""2026-08-26T12:43:00"", ""status"": ""ok""}",AI,News article,,521,100,"GPT-4o, news desk prompt",2026-07-30,AI_ONLY,0.228,0.02,0.752,ai,high,0.8482
R018,C057,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:43:44,18,ok,class_probability_ai,0.7217,AI_ONLY (72.2% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.7217, ""mixed"": 0.2158, ""human"": 0.0625}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.8412, ""scanned_at"": ""2026-08-26T12:43:44"", ""status"": ""ok""}",Hybrid,Blog / opinion,,508,50,2019 newsletter essay + Llama 3.3 70B replacements (50%),2026-08-19,AI_ONLY,0.0625,0.2158,0.7217,ai,medium,0.8412
R019,C018,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:45:03,19,ok,class_probability_ai,0.8861,AI_ONLY (88.6% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.8861, ""mixed"": 0.02, ""human"": 0.0939}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.8969, ""scanned_at"": ""2026-08-26T12:45:03"", ""status"": ""ok""}",AI,Business / professional,,954,100,"Claude 4 Sonnet, board update prompt",2026-08-19,AI_ONLY,0.0939,0.02,0.8861,ai,high,0.8969
R020,C055,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:45:59,20,ok,class_probability_ai,0.6013,AI_ONLY (60.1% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.6013, ""mixed"": 0.389, ""human"": 0.0098}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.861, ""scanned_at"": ""2026-08-26T12:45:59"", ""status"": ""ok""}",Hybrid,News article,,721,75,2017 wire story + Claude 4 Sonnet replacements (75%),2026-08-17,AI_ONLY,0.0098,0.389,0.6013,ai,medium,0.861
R021,C023,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:47:05,21,ok,class_probability_ai,0.7449,AI_ONLY (74.5% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.7449, ""mixed"": 0.0888, ""human"": 0.1663}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.7628, ""scanned_at"": ""2026-08-26T12:47:05"", ""status"": ""ok""}",AI,Marketing copy,,894,100,"Gemini 2.0 Flash, email campaign prompt",2026-07-28,AI_ONLY,0.1663,0.0888,0.7449,ai,medium,0.7628
R022,C081,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:48:49,22,ok,class_probability_ai,0.042,HUMAN_ONLY (81.2% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.042, ""mixed"": 0.1463, ""human"": 0.8118}, ""predicted_class"": ""human"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.07, ""scanned_at"": ""2026-08-26T12:48:49"", ""status"": ""ok""}",Human,Technical how-to,Technical,438,0,"FDA 2016 guidance excerpt, 'Human Factors Studies'",2016-02-03,HUMAN_ONLY,0.8118,0.1463,0.042,human,high,0.07
R023,C072,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:50:54,23,ok,class_probability_ai,0.4179,AI_ONLY (41.8% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.4179, ""mixed"": 0.2207, ""human"": 0.3613}, ""predicted_class"": ""ai"", ""confidence_category"": ""low"", ""average_generated_prob"": 0.4937, ""scanned_at"": ""2026-08-26T12:50:54"", ""status"": ""ok""}",Human,Academic essay,ESL,471,0,"TOEFL-style independent essay, collected with writer consent, Osaka",2016-11-03,AI_ONLY,0.3613,0.2207,0.4179,ai,low,0.4937
R024,C045,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:52:12,24,ok,class_probability_ai,0.343,HUMAN_ONLY (57.2% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.343, ""mixed"": 0.0852, ""human"": 0.5718}, ""predicted_class"": ""human"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.435, ""scanned_at"": ""2026-08-26T12:52:12"", ""status"": ""ok""}",Human,Marketing copy,,601,0,"Spring lookbook copy, Patagonia Worn Wear",2017-03-14,HUMAN_ONLY,0.5718,0.0852,0.343,human,medium,0.435
R025,C047,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:52:57,25,ok,class_probability_ai,0.1476,HUMAN_ONLY (76.2% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.1476, ""mixed"": 0.0902, ""human"": 0.7622}, ""predicted_class"": ""human"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.1438, ""scanned_at"": ""2026-08-26T12:52:57"", ""status"": ""ok""}",Human,Technical how-to,,462,0,"PostgreSQL 9.4 documentation, 'Concurrency Control'",2014-12-18,HUMAN_ONLY,0.7622,0.0902,0.1476,human,high,0.1438
R026,C032,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:54:09,26,ok,class_probability_ai,0.0406,HUMAN_ONLY (77.5% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.0406, ""mixed"": 0.1846, ""human"": 0.7749}, ""predicted_class"": ""human"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.1822, ""scanned_at"": ""2026-08-26T12:54:09"", ""status"": ""ok""}",Human,News article,,569,0,"Sarah Kliff, Vox feature on emergency-room billing",2018-02-14,HUMAN_ONLY,0.7749,0.1846,0.0406,human,high,0.1822
R027,C025,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:55:55,27,ok,class_probability_ai,0.7795,AI_ONLY (78.0% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.7795, ""mixed"": 0.0679, ""human"": 0.1526}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.9264, ""scanned_at"": ""2026-08-26T12:55:55"", ""status"": ""ok""}",AI,Technical how-to,,806,100,"GPT-4o, install-guide prompt",2026-08-05,AI_ONLY,0.1526,0.0679,0.7795,ai,high,0.9264
R028,C065,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:57:18,28,ok,class_probability_ai,0.5329,AI_ONLY (53.3% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.5329, ""mixed"": 0.4588, ""human"": 0.0083}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.7862, ""scanned_at"": ""2026-08-26T12:57:18"", ""status"": ""ok""}",Hybrid,Marketing copy,,564,25,2014 product insert + Llama 3.3 70B replacements (25%),2026-08-13,AI_ONLY,0.0083,0.4588,0.5329,ai,medium,0.7862
R029,C075,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:58:27,29,ok,class_probability_ai,0.3561,HUMAN_ONLY (48.2% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.3561, ""mixed"": 0.162, ""human"": 0.4818}, ""predicted_class"": ""human"", ""confidence_category"": ""low"", ""average_generated_prob"": 0.4473, ""scanned_at"": ""2026-08-26T12:58:27"", ""status"": ""ok""}",Human,News article,Translated,444,0,English translation of Asahi Shimbun local-government piece,2014-09-08,HUMAN_ONLY,0.4818,0.162,0.3561,human,low,0.4473
R030,C039,GPTZero,4.9b,1,2026-08-26,2026-08-26T13:00:17,30,ok,class_probability_ai,0.01,HUMAN_ONLY (88.9% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.01, ""mixed"": 0.101, ""human"": 0.889}, ""predicted_class"": ""human"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.0688, ""scanned_at"": ""2026-08-26T13:00:17"", ""status"": ""ok""}",Human,Creative fiction,,733,0,"Ursula K. Le Guin, 'The Ones Who Walk Away from Omelas,' 1973 reprint",1973-10-01,HUMAN_ONLY,0.889,0.101,0.01,human,high,0.0688
R031,C030,GPTZero,4.9b,1,2026-08-26,2026-08-26T13:01:38,31,ok,class_probability_ai,0.1958,HUMAN_ONLY (61.8% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.1958, ""mixed"": 0.1862, ""human"": 0.618}, ""predicted_class"": ""human"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.4201, ""scanned_at"": ""2026-08-26T13:01:38"", ""status"": ""ok""}",Human,Academic essay,,653,0,"John Dewey, Democracy and Education, ch. 7 (Macmillan)",1916-01-01,HUMAN_ONLY,0.618,0.1862,0.1958,human,medium,0.4201
R032,C090,GPTZero,4.9b,1,2026-08-26,2026-08-26T13:02:54,32,ok,class_probability_ai,0.3755,HUMAN_ONLY (46.4% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.3755, ""mixed"": 0.1604, ""human"": 0.4642}, ""predicted_class"": ""human"", ""confidence_category"": ""low"", ""average_generated_prob"": 0.4295, ""scanned_at"": ""2026-08-26T13:02:54"", ""status"": ""ok""}",Human,Academic essay,Archaic,531,0,"John Ruskin, The Stones of Venice, vol. 2, ch. 6",1853-07-01,HUMAN_ONLY,0.4642,0.1604,0.3755,human,low,0.4295
R033,C063,GPTZero,4.9b,1,2026-08-26,2026-08-26T13:03:41,33,ok,class_probability_ai,0.2846,HUMAN_ONLY (69.5% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.2846, ""mixed"": 0.02, ""human"": 0.6954}, ""predicted_class"": ""human"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.2664, ""scanned_at"": ""2026-08-26T13:03:41"", ""status"": ""ok""}",Hybrid,Business / professional,,462,50,2015 offer-summary memo + Claude 4 Sonnet replacements (50%),2026-08-15,HUMAN_ONLY,0.6954,0.02,0.2846,human,medium,0.2664
R034,C022,GPTZero,4.9b,1,2026-08-26,2026-08-26T13:04:50,34,ok,class_probability_ai,0.4309,AI_ONLY (43.1% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.4309, ""mixed"": 0.2539, ""human"": 0.3151}, ""predicted_class"": ""ai"", ""confidence_category"": ""low"", ""average_generated_prob"": 0.4628, ""scanned_at"": ""2026-08-26T13:04:50"", ""status"": ""ok""}",AI,Marketing copy,,651,100,"Claude 4 Sonnet, product page prompt",2026-07-23,AI_ONLY,0.3151,0.2539,0.4309,ai,low,0.4628
R035,C088,GPTZero,4.9b,1,2026-08-26,2026-08-26T13:06:43,35,ok,class_probability_ai,0.508,AI_ONLY (50.8% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.508, ""mixed"": 0.4827, ""human"": 0.0093}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.7081, ""scanned_at"": ""2026-08-26T13:06:43"", ""status"": ""ok""}",Human,Marketing copy,Short,129,0,"Museum wall label, Cleveland Museum of Art collection notes",2019-08-30,AI_ONLY,0.0093,0.4827,0.508,ai,medium,0.7081
R036,C024,GPTZero,4.9b,1,2026-08-26,2026-08-26T13:07:59,36,ok,class_probability_ai,0.8613,AI_ONLY (86.1% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.8613, ""mixed"": 0.0216, ""human"": 0.1171}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.7506, ""scanned_at"": ""2026-08-26T13:07:59"", ""status"": ""ok""}",AI,Marketing copy,,888,100,"Llama 3.3 70B, catalog blurb prompt",2026-08-02,AI_ONLY,0.1171,0.0216,0.8613,ai,high,0.7506
R037,C080,GPTZero,4.9b,1,2026-08-26,2026-08-26T13:09:51,37,ok,class_probability_ai,0.1307,HUMAN_ONLY (82.7% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.1307, ""mixed"": 0.042, ""human"": 0.8272}, ""predicted_class"": ""human"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.2126, ""scanned_at"": ""2026-08-26T13:09:51"", ""status"": ""ok""}",Human,Technical how-to,Technical,360,0,"IEEE 802.11-2012 clause excerpt, licensed reprint",2012-03-29,HUMAN_ONLY,0.8272,0.042,0.1307,human,high,0.2126
R038,C076,GPTZero,4.9b,1,2026-08-26,2026-08-26T13:10:39,38,ok,class_probability_ai,0.2621,HUMAN_ONLY (66.6% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.2621, ""mixed"": 0.0721, ""human"": 0.6658}, ""predicted_class"": ""human"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.312, ""scanned_at"": ""2026-08-26T13:10:39"", ""status"": ""ok""}",Human,News article,Translated,587,0,English translation of Le Monde diplomatique short feature,2019-02-27,HUMAN_ONLY,0.6658,0.0721,0.2621,human,medium,0.312
R039,C014,GPTZero,4.9b,1,2026-08-26,2026-08-26T13:11:25,39,ok,class_probability_ai,0.664,AI_ONLY (66.4% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.664, ""mixed"": 0.326, ""human"": 0.01}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.7905, ""scanned_at"": ""2026-08-26T13:11:25"", ""status"": ""ok""}",AI,Creative fiction,,797,100,"Claude 4 Sonnet, literary short story",2026-08-14,AI_ONLY,0.01,0.326,0.664,ai,medium,0.7905
R040,C052,GPTZero,4.9b,1,2026-08-26,2026-08-26T13:12:21,40,ok,class_probability_ai,0.4155,AI_ONLY (41.5% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.4155, ""mixed"": 0.2043, ""human"": 0.3802}, ""predicted_class"": ""ai"", ""confidence_category"": ""low"", ""average_generated_prob"": 0.5859, ""scanned_at"": ""2026-08-26T13:12:21"", ""status"": ""ok""}",Hybrid,Academic essay,,501,75,2016 tenure statement + Gemini 2.0 Flash replacements (75%),2026-08-14,AI_ONLY,0.3802,0.2043,0.4155,ai,low,0.5859
