run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,ai_confidence,original_confidence,label
R012,C053,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:19:24,12,ok,ai_confidence,15,15% AI · 85% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 15, ""original"": 85, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:19:24"", ""status"": ""ok""}",Hybrid,News article,,757,25,2018 local news brief + Llama 3.3 70B replacements (25%),2026-08-15,15,85,Likely Original
R013,C078,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:20:24,13,ok,ai_confidence,59,59% AI · 41% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 59, ""original"": 41, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:20:24"", ""status"": ""ok""}",Human,Blog / opinion,Templated,234,0,"HR welcome email template, regional hospital system",2018-08-04,59,41,Likely AI
R014,C051,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:21:42,14,ok,ai_confidence,50,50% AI · 50% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 50, ""original"": 50, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:21:42"", ""status"": ""ok""}",Hybrid,Academic essay,,799,50,2014 faculty senate minutes + Claude 4 Sonnet replacements (50%),2026-08-13,50,50,Likely AI
R015,C037,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:22:37,15,ok,ai_confidence,23,23% AI · 77% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 23, ""original"": 77, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:22:37"", ""status"": ""ok""}",Human,Blog / opinion,,609,0,"Tim Carmody, kottke.org weekday post",2019-09-18,23,77,Likely Original
R016,C015,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:23:15,16,ok,ai_confidence,59,59% AI · 41% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 59, ""original"": 41, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:23:15"", ""status"": ""ok""}",AI,Creative fiction,,944,100,"Gemini 2.0 Flash, scene-only prompt",2026-08-15,59,41,Likely AI
R017,C040,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:25:03,17,ok,ai_confidence,9,9% AI · 91% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 9, ""original"": 91, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:25:03"", ""status"": ""ok""}",Human,Creative fiction,,405,0,"George Saunders, Tenth of December title story (Random House)",2013-01-08,9,91,Likely Original
R018,C002,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:26:12,18,ok,ai_confidence,81,81% AI · 19% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 81, ""original"": 19, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:26:12"", ""status"": ""ok""}",AI,Academic essay,,834,100,"Claude 4 Sonnet, default settings",2026-07-22,81,19,Likely AI
R019,C052,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:27:43,19,ok,ai_confidence,38,38% AI · 62% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 38, ""original"": 62, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:27:43"", ""status"": ""ok""}",Hybrid,Academic essay,,501,75,2016 tenure statement + Gemini 2.0 Flash replacements (75%),2026-08-14,38,62,Likely Original
R020,C063,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:29:48,20,ok,ai_confidence,100,100% AI · 0% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 100, ""original"": 0, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:29:48"", ""status"": ""ok""}",Hybrid,Business / professional,,462,50,2015 offer-summary memo + Claude 4 Sonnet replacements (50%),2026-08-15,100,0,Likely AI
R021,C031,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:31:15,21,ok,ai_confidence,42,42% AI · 58% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 42, ""original"": 58, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:31:15"", ""status"": ""ok""}",Human,Academic essay,,730,0,"Jane Addams, Peace and Bread in Time of War, ch. 3",1922-03-15,42,58,Likely Original
R022,C090,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:33:19,22,ok,ai_confidence,13,13% AI · 87% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 13, ""original"": 87, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:33:19"", ""status"": ""ok""}",Human,Academic essay,Archaic,531,0,"John Ruskin, The Stones of Venice, vol. 2, ch. 6",1853-07-01,13,87,Likely Original
R023,C036,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:34:09,23,ok,ai_confidence,17,17% AI · 83% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 17, ""original"": 83, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:34:09"", ""status"": ""ok""}",Human,Blog / opinion,,854,0,"Heather Havrilesky, Ask Polly column, The Cut",2019-03-06,17,83,Likely Original
R024,C007,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:35:06,24,ok,ai_confidence,76,76% AI · 24% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 76, ""original"": 24, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:35:06"", ""status"": ""ok""}",AI,News article,,646,100,"Gemini 2.0 Flash, rewrite-as-AP",2026-08-04,76,24,Likely AI
R025,C045,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:36:19,25,ok,ai_confidence,33,33% AI · 67% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 33, ""original"": 67, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:36:19"", ""status"": ""ok""}",Human,Marketing copy,,601,0,"Spring lookbook copy, Patagonia Worn Wear",2017-03-14,33,67,Likely Original
R026,C018,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:38:10,26,ok,ai_confidence,91,91% AI · 9% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 91, ""original"": 9, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:38:10"", ""status"": ""ok""}",AI,Business / professional,,954,100,"Claude 4 Sonnet, board update prompt",2026-08-19,91,9,Likely AI
R027,C046,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:38:54,27,ok,ai_confidence,18,18% AI · 82% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 18, ""original"": 82, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:38:54"", ""status"": ""ok""}",Human,Marketing copy,,363,0,"Holiday insert, Powell's Books in-store flyer",2017-11-09,18,82,Likely Original
R028,C084,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:40:26,28,ok,ai_confidence,48,48% AI · 52% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 48, ""original"": 52, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:40:26"", ""status"": ""ok""}",Human,Business / professional,Grammar-heavy,573,0,"Appellate brief statement of facts, 7th Cir. public docket",2018-01-11,48,52,Likely Original
R029,C011,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:41:24,29,ok,ai_confidence,0,0% AI · 100% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 0, ""original"": 100, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:41:24"", ""status"": ""ok""}",AI,Blog / opinion,,985,100,"Gemini 2.0 Flash, Substack-style prompt",2026-08-10,0,100,Likely Original
R030,C074,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:42:16,30,ok,ai_confidence,38,38% AI · 62% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 38, ""original"": 62, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:42:16"", ""status"": ""ok""}",Human,News article,Translated,693,0,"English translation of El País report on rail strikes, translator-signed",2017-05-16,38,62,Likely Original
R031,C024,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:43:58,31,ok,ai_confidence,81,81% AI · 19% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 81, ""original"": 19, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:43:58"", ""status"": ""ok""}",AI,Marketing copy,,888,100,"Llama 3.3 70B, catalog blurb prompt",2026-08-02,81,19,Likely AI
R032,C003,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:45:30,32,ok,ai_confidence,69,69% AI · 31% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 69, ""original"": 31, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:45:30"", ""status"": ""ok""}",AI,Academic essay,,583,100,"Gemini 2.0 Flash, long-form setting",2026-07-25,69,31,Likely AI
R033,C028,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:47:13,33,ok,ai_confidence,100,100% AI · 0% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 100, ""original"": 0, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:47:13"", ""status"": ""ok""}",AI,Technical how-to,,629,100,"Llama 3.3 70B, configuration guide",2026-08-16,100,0,Likely AI
R034,C019,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:48:19,34,ok,ai_confidence,74,74% AI · 26% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 74, ""original"": 26, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:48:19"", ""status"": ""ok""}",AI,Business / professional,,631,100,"Gemini 2.0 Flash, policy brief prompt",2026-08-21,74,26,Likely AI
R035,C041,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:49:02,35,ok,ai_confidence,2,2% AI · 98% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 2, ""original"": 98, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:49:02"", ""status"": ""ok""}",Human,Business / professional,,521,0,"Internal strategy memo, Midland Credit Union board packet",2016-02-17,2,98,Likely Original
R036,C047,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:50:29,36,ok,ai_confidence,27,27% AI · 73% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 27, ""original"": 73, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:50:29"", ""status"": ""ok""}",Human,Technical how-to,,462,0,"PostgreSQL 9.4 documentation, 'Concurrency Control'",2014-12-18,27,73,Likely Original
R037,C008,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:52:15,37,ok,ai_confidence,99,99% AI · 1% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 99, ""original"": 1, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:52:15"", ""status"": ""ok""}",AI,News article,,909,100,"Llama 3.3 70B, news brief prompt",2026-08-06,99,1,Likely AI
R038,C068,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:52:52,38,ok,ai_confidence,68,68% AI · 32% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 68, ""original"": 32, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:52:52"", ""status"": ""ok""}",Hybrid,Technical how-to,,790,25,2015 man-page rewrite + Gemini 2.0 Flash replacements (25%),2026-08-14,68,32,Likely AI
R039,C083,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:54:28,39,ok,ai_confidence,35,35% AI · 65% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 35, ""original"": 65, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:54:28"", ""status"": ""ok""}",Human,Business / professional,Grammar-heavy,701,0,"Commercial lease, Article 12 indemnity clause, Cook County filing",2015-07-30,35,65,Likely Original
R040,C066,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:55:03,40,ok,ai_confidence,20,20% AI · 80% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 20, ""original"": 80, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:55:03"", ""status"": ""ok""}",Hybrid,Marketing copy,,808,50,2018 homepage draft + GPT-4o replacements (50%),2026-08-16,20,80,Likely Original
R041,C029,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:55:44,41,ok,ai_confidence,14,14% AI · 86% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 14, ""original"": 86, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:55:44"", ""status"": ""ok""}",Human,Academic essay,,850,0,"William James, 'The Moral Equivalent of War,' McClure's Magazine",1910-08-01,14,86,Likely Original
R042,C016,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:57:15,42,ok,ai_confidence,92,92% AI · 8% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 92, ""original"": 8, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:57:15"", ""status"": ""ok""}",AI,Creative fiction,,800,100,"Llama 3.3 70B, third-person fiction",2026-08-17,92,8,Likely AI
R043,C072,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:57:51,43,ok,ai_confidence,48,48% AI · 52% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 48, ""original"": 52, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:57:51"", ""status"": ""ok""}",Human,Academic essay,ESL,471,0,"TOEFL-style independent essay, collected with writer consent, Osaka",2016-11-03,48,52,Likely Original
R044,C049,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:58:31,44,ok,ai_confidence,19,19% AI · 81% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 19, ""original"": 81, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:58:31"", ""status"": ""ok""}",Human,Technical how-to,,565,0,"AWS Elastic Beanstalk Developer Guide, 'Deploying a Flask app,' archived HTML",2015-10-29,19,81,Likely Original
R045,C065,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T15:00:35,45,ok,ai_confidence,50,50% AI · 50% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 50, ""original"": 50, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T15:00:35"", ""status"": ""ok""}",Hybrid,Marketing copy,,564,25,2014 product insert + Llama 3.3 70B replacements (25%),2026-08-13,50,50,Likely AI
R046,C038,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T15:02:15,46,ok,ai_confidence,0,0% AI · 100% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 0, ""original"": 100, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T15:02:15"", ""status"": ""ok""}",Human,Creative fiction,,596,0,"Willa Cather, My Ántonia, Book I, ch. 2 (Houghton Mifflin)",1918-09-21,0,100,Likely Original
R047,C022,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T15:04:18,47,ok,ai_confidence,42,42% AI · 58% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 42, ""original"": 58, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T15:04:18"", ""status"": ""ok""}",AI,Marketing copy,,651,100,"Claude 4 Sonnet, product page prompt",2026-07-23,42,58,Likely Original
R048,C017,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T15:04:53,48,ok,ai_confidence,98,98% AI · 2% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 98, ""original"": 2, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T15:04:53"", ""status"": ""ok""}",AI,Business / professional,,644,100,"GPT-4o, client memo prompt",2026-08-18,98,2,Likely AI
R049,C033,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T15:06:44,49,ok,ai_confidence,25,25% AI · 75% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 25, ""original"": 75, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T15:06:44"", ""status"": ""ok""}",Human,News article,,669,0,"Andrew Higgins, New York Times foreign desk",2018-06-09,25,75,Likely Original
